Plot,Repeat,NPQ_ind_amp,NPQ_ind_rate,NPQ_rel_amp,NPQ_rel_rate,NPQ_rel_res,phiPSII_ind_amp,phiPSII_ind_rate,phiPSII_ind_res,NPQ_ind_linear,maxNPQ,endNPQ,endFvFm
1079,3,3.494687141,0.008665293,2.957734929,0.01700578,0.552593954,0.2419217,0.011241024,0.527224666,0.035833333,3.6,0.4,0.78
1080,1,3.102215897,0.006323889,2.772022189,0.020021995,0.311557763,0.264854191,0.015781939,0.490470695,0.029833333,3.12,0.24,0.76
1080,2,3.422548064,0.007498243,3.069412086,0.020934593,0.434121117,0.271897045,0.014549151,0.472489366,0.037666667,3.55,0.32,0.75
1080,3,3.464334511,0.004942493,2.985972058,0.026985691,0.386322413,0.266279288,0.018255513,0.474674363,0.031666667,3.42,0.26,0.75
1081,1,3.756259841,0.008221351,3.30554028,0.023463343,0.495333436,0.271625477,0.014722548,0.492159058,0.045333333,3.91,0.29,0.78
1081,2,3.556218698,0.007739898,3.293854155,0.019512252,0.378636379,0.271769243,0.013919983,0.523388058,0.042333333,3.73,0.28,0.8
1081,3,3.51242729,0.007150193,3.150841134,0.027778954,0.463930838,0.255976003,0.01860611,0.498981149,0.043833333,3.69,0.29,0.77
1082,1,3.762243942,0.007477848,3.36734295,0.016581173,0.424007292,0.277028486,0.012152621,0.500496504,0.033333333,3.84,0.34,0.78
1082,2,3.610139106,0.011308852,3.081011347,0.014650136,0.538656632,0.264405196,0.009129778,0.484791047,0.045333333,3.78,0.38,0.76
1082,3,3.334016272,0.009543577,2.816857986,0.013347106,0.545773356,0.238193382,0.009139381,0.520244047,0.0385,3.5,0.39,0.77
1083,1,3.810252305,0.008842859,3.403075329,0.022669664,0.49158662,0.281227042,0.014617813,0.470479264,0.0485,4,0.33,0.76
1083,2,3.400835197,0.008592447,3.026418916,0.02343945,0.416248215,0.259095939,0.016458266,0.518265207,0.041833333,3.53,0.25,0.79
