Plot,Repeat,leaf_width
2103,1,11.2
2103,2,8.8
2103,3,9.7
2104,1,8.6
2104,2,8.5
2104,3,8.5
2105,1,9.6
2105,3,9.3
2106,1,8.5
2106,2,8.3
2106,3,7.5
2107,1,11.8
2107,2,10.4
2107,3,11.1
2108,1,9.9
2108,2,10.9
2108,3,9.7
2109,1,7.3
2109,2,7.8
2109,3,7.5
2110,1,9.8
2110,2,9
2110,3,9
2111,1,9.8
2111,2,9.9
2111,3,10.7
2112,1,8.4
2112,2,8.2
2112,3,9.1
2113,1,9
2113,2,8.8
2113,3,8.2
2114,1,9.3
2114,2,10.8
2114,3,7.3
2115,1,9.8
2115,2,8.8
2115,3,10.3
2116,1,9.5
2116,2,9.5
2116,3,8.7
2117,1,6.9
2117,2,5.6
2117,3,6.2
2118,1,8.4
2118,2,7.9
2118,3,7.5
2119,1,7.9
2119,2,8
2119,3,7.4
2120,1,9.9
2120,2,9.7
2120,3,9.1
2121,1,7.9
2121,2,8
2121,3,9
2122,1,10.9
2122,2,10.6
2122,3,10.5
2123,1,8.2
2123,2,9.5
2123,3,10.5
2124,1,9.3
2124,2,12.3
2124,3,9.4
2125,1,9.2
2125,2,10
2125,3,9.7
2126,1,10.3
2126,2,8.4
2126,3,10.5
2127,1,7.8
2127,2,8.6
2127,3,8.8
2128,1,10.2
2128,2,9.5
2128,3,9.7
2129,1,10.3
2129,2,10.1
2129,3,10.3
2130,1,8
2130,2,7.2
2130,3,7.5
2131,1,9.5
2131,2,7.6
2131,3,8.8
2132,1,11.2
2132,2,9.8
2132,3,9.8
2133,1,6.8
2133,2,7.3
2133,3,7
2134,1,6
2134,2,7
2134,3,6.8
2135,1,10.6
2135,2,10
2135,3,8.3
2136,1,7.1
2136,2,8.5
2136,3,8.7
2137,1,11
2137,2,10.4
2138,1,9
2138,2,9
2138,3,10.3
2139,1,8.6
2139,2,8.9
2139,3,8.9
2140,1,7.3
2140,2,9.3
2140,3,9.5
2141,1,7
2141,2,7.6
2141,3,7.9
2142,1,7.2
2142,2,6.6
2142,3,7.9
2143,1,8.8
2143,2,8.5
2143,3,7.4
2144,1,7.7
2144,2,7.5
2144,3,8
2145,1,6.4
2145,2,7
2145,3,6.3
2146,1,7
2146,2,6.8
2146,3,7.3
2147,1,9
2147,2,7.4
2147,3,9
2148,1,8.4
2148,2,8.6
2149,1,11.7
2149,2,10.3
2149,3,11.2
2150,1,10.6
2150,2,10.1
2150,3,10.4
2151,1,7.5
2151,2,7.2
2151,3,7.5
2152,1,9
2152,2,9.1
2152,3,8.6
2153,1,9.9
2153,2,10.7
2153,3,9.7
2154,1,10.1
2154,2,10
2154,3,10.3
2155,1,9.8
2155,2,11.2
2155,3,8.7
2156,1,9
2156,2,8.4
2156,3,8
2157,1,7.5
2157,2,8.8
2157,3,9.9
2158,1,8.8
2158,2,8.8
2159,1,9
2159,2,10.5
2159,3,8.4
2160,1,7.5
2160,2,8
2160,3,8
2161,1,8.7
2161,2,8.7
2161,3,8.8
2162,1,6.2
2162,2,5.8
2162,3,5.9
2163,1,8.2
2163,2,9.2
2163,3,8.1
2164,1,9.4
2164,2,9.3
2164,3,8
2165,1,11.6
2165,2,11.8
2165,3,10
2166,1,10.4
2166,2,8.2
2166,3,8.6
2167,1,7.7
2167,2,8.1
2167,3,7.1
2168,1,7.8
2168,2,7.3
2168,3,7.4
2169,1,6.9
2169,2,6.8
2169,3,7.2
2170,1,10.1
2170,2,9.4
2170,3,9
2171,1,8.6
2171,2,8.1
2171,3,7.6
2172,1,8.3
2172,2,10.1
2172,3,9.2
2173,1,9
2173,2,7.9
2173,3,8.3
2174,1,9.4
2174,2,10.6
2174,3,9.7
2175,1,7.6
2175,2,8
2175,3,8.1
2176,1,6.9
2176,2,8.4
2176,3,7
2177,1,8.5
2177,2,8.7
2177,3,8.7
2178,1,9.1
2178,2,8.1
2178,3,6.9
2179,1,8.8
2179,2,9.1
2179,3,9
2180,1,7.7
2180,2,8.4
2180,3,8.7
2181,1,9.3
2181,2,9.2
2181,3,8.6
2182,1,8.3
2182,2,8.1
2182,3,8.2
2183,1,8.5
2183,2,8.9
22/12/1905,3,8.1
2184,1,7
2184,2,9.2
2184,3,5.7
2185,1,8.2
2185,2,7.3
2185,3,7
2186,1,8.5
2186,2,9.5
2186,3,9.2
2187,1,7.7
2187,2,7.4
2187,3,7.6
2188,1,8.3
2188,2,7.4
2188,3,8.2
2189,1,9
2189,2,9.4
2189,3,9.7
2190,1,8.8
2190,2,8.6
2190,3,9.1
2191,1,9.4
2191,2,9.6
2191,3,9
2192,1,9.8
2192,2,11
2192,3,9.6
2194,1,8.5
2194,2,8.5
2194,3,8.5
2195,1,9.4
2195,2,7.4
2195,3,8.4
2196,1,8.1
2196,2,8.5
2196,3,8.1
2197,1,10
2197,2,8.7
2197,3,8
2198,1,9.4
2198,2,9
2198,3,10.1
2199,1,8.6
2199,2,8.6
2199,3,8.5
2200,1,7.7
2200,2,7
2200,3,7.9
2201,1,8
2201,2,6
2201,3,7.6
2202,1,7.5
2202,2,5.7
2202,3,6.8
2203,1,8.4
2203,2,9
2203,3,7.9
2204,1,8.9
2204,2,10
2204,3,10.1
2205,1,9.2
2205,2,8.3
2205,3,9.8
2206,1,9.9
2206,2,9.5
2206,3,9.5
2207,1,7.2
2207,2,8
2207,3,7.8
2208,1,11.2
2208,2,10.7
2208,3,11
2210,1,8.3
2210,2,9.1
2210,3,8.8
2211,1,6.7
2211,2,6.2
2211,3,6.9
2212,1,10.5
2212,2,9.4
2212,3,10
2213,1,9.5
2213,2,11.4
2213,3,10.1
2214,1,6.5
2214,2,7.9
2214,3,7.3
2215,1,8.6
2215,2,10
2215,3,11
2216,1,7.4
2216,2,7
2216,3,7.9
2217,1,8.7
2217,2,8.4
2217,3,8.1
2218,1,11.4
2218,2,8.4
2218,3,7.9
2219,1,9.1
2219,2,7.7
2219,3,7.6
2220,1,10.3
2220,2,11.6
2220,3,8.7
2221,1,9.8
2221,2,9.2
2221,3,10.3
2222,1,9.3
