PlotID,Repeat,C,N,CN,d13C,d15N
1129,2,43.17,2.97,14.5359288,-16.02,1.47
1129,3,43.31,2.87,15.10838862,-15.84,1.99
1130,1,43.53,2.97,14.65537103,-17.09,1.69
1130,2,43.03,3.03,14.18268795,-17.07,1.05
1130,3,43.90,3.22,13.64653165,-17.23,2.63
1131,Pooled,43.80,3.62,12.10239983,-16.25,1.15
1132,Pooled,44.01,3.28,13.42316204,-15.30,0.32
1133,Pooled,42.38,2.63,16.11028935,-15.79,3.16
1134,Pooled,44.17,2.22,19.85501202,-15.17,1.65
1135,Pooled,43.28,3.55,12.19738565,-16.03,2.36
1136,Pooled,44.50,2.50,17.80241308,-15.43,1.38
1137,1,41.80,2.82,14.81349899,-15.89,2.38
1137,2,44.20,2.87,15.40498033,-16.56,2.30
1137,3,45.01,2.91,15.45080703,-15.97,2.22
1138,1,39.40,2.53,15.58855601,-15.81,0.41
1138,2,43.39,3.15,13.76237687,-15.90,0.03
1138,3,42.58,2.94,14.47588554,-15.93,-0.90
1139,Pooled,43.80,2.74,15.97361496,-15.55,2.71
1140,1,42.97,3.32,12.92512421,-16.40,1.38
1140,2,44.93,3.51,12.79706486,-16.21,1.12
1140,3,44.58,3.54,12.5780404,-16.27,1.68
1141,1,43.86,3.74,11.72448982,-17.26,3.28
1141,2,45.93,3.81,12.05538212,-17.33,2.81
1141,3,40.42,3.57,11.31501153,-17.46,3.24
1142,Pooled,43.51,3.46,12.591782,-15.81,3.62
1143,Pooled,44.42,3.09,14.38002046,-15.66,1.56
1144,1,43.99,3.45,12.74025598,-16.75,3.69
1144,2,43.08,3.79,11.35555129,-16.80,3.55
1144,3,42.97,3.47,12.38011355,-15.89,2.28
1145,Pooled,43.35,3.87,11.21370282,-15.62,1.71
1146,Pooled,47.47,3.72,12.7720406,-15.93,-0.06
1147,1,42.09,2.72,15.49857145,-15.94,2.68
1147,2,43.60,2.56,17.05787835,-15.74,2.43
1147,3,44.06,2.81,15.69065466,-15.90,1.50
