Plot,Repeat,Area
1222,3,12.29
1222,1,13.08
1221,3,10.03
1221,1,7.79
1221,2,5.74
1220,3,15.24
1220,1,8.14
1220,2,13.89
1219,3,6.90
1219,2,11.94
1219,1,8.48
1218,1,5.98
1218,3,7.66
1218,2,5.32
1217,3,10.73
1217,1,4.84
1217,2,8.59
1216,3,9.37
1216,2,9.58
1216,1,7.92
1215,3,
1215,1,4.96
1215,2,3.89
1214,1,6.22
1214,3,6.06
1214,2,5.07
1213,2,10.84
1213,1,7.65
1213,3,8.78
1212,2,12.95
1212,3,11.01
1212,1,5.53
1211,3,8.98
1211,1,3.97
1211,2,8.29
1209,2,12.08
1209,1,12.68
1209,3,11.93
1207,1,14.31
1207,2,8.00
1207,3,7.72
1206,3,10.24
1206,2,10.20
1206,1,8.90
1205,1,11.68
1205,3,6.97
1205,2,4.69
1203,3,2.78
1203,1,3.79
1203,2,3.64
1202,2,5.47
1202,1,4.68
1202,3,3.99
1201,3,6.68
1201,2,6.96
1201,1,5.38
1200,2,7.02
1200,3,7.46
1200,1,7.04
1199,2,9.96
1199,3,11.05
1199,1,11.67
1198,2,16.52
1198,3,14.34
1198,1,11.87
1197,3,3.65
1197,2,4.67
1197,1,2.98
1196,3,6.04
1195,1,12.76
1195,2,8.51
1195,3,8.94
1194,3,12.72
1194,1,10.80
1194,2,7.71
1192,2,6.83
1192,1,5.89
1192,3,10.22
1191,1,2.43
1191,2,2.70
1191,3,1.84
1190,1,6.01
1190,3,4.65
1190,2,3.58
1189,2,
1189,3,5.26
1189,1,7.56
1188,1,6.86
1188,3,3.77
1188,2,3.74
1187,1,13.40
1187,3,9.17
1187,2,6.38
1186,3,2.46
1186,1,1.87
1186,2,2.87
1185,3,6.28
1185,2,6.99
1185,1,5.52
1183,2,
1183,1,6.67
1183,3,5.67
1182,1,12.83
1182,2,7.34
1182,3,10.71
1181,1,5.89
1181,2,6.80
1181,3,6.76
1180,2,16.11
1180,1,10.63
1180,3,5.65
1179,1,5.83
1179,3,7.25
1179,2,5.93
1178,3,7.16
1178,2,5.69
1178,1,6.50
1177,1,8.45
1177,2,5.54
1177,3,5.37
1176,1,6.15
1176,2,13.93
1176,3,4.98
1175,3,6.52
1175,1,5.43
1175,2,5.42
1174,3,6.28
1174,1,9.32
1174,2,5.41
1173,1,7.02
1173,3,4.79
1173,2,5.47
1172,3,8.55
1172,2,8.49
1172,1,4.76
1171,1,6.91
1171,2,5.80
1171,3,7.18
1170,2,8.08
1170,3,4.90
1170,1,3.86
1169,2,3.32
1169,3,4.28
1169,1,7.41
1168,2,5.52
1168,1,6.63
1168,3,2.41
1167,3,11.10
1167,2,8.99
1167,1,7.27
1166,2,9.77
1166,1,4.35
1166,3,3.21
1165,2,6.55
1165,3,8.02
1165,1,5.43
1164,1,9.72
1164,2,7.41
1164,3,4.44
1163,3,10.96
1163,2,13.16
1163,1,8.12
1162,1,6.60
1162,2,4.34
1162,3,9.87
1161,2,4.28
1161,3,7.46
1161,1,11.34
1160,1,7.85
1160,2,5.73
1160,3,6.19
1159,1,5.81
1159,2,4.53
1159,3,5.22
1158,2,4.60
1158,3,3.87
1158,1,3.31
1157,3,7.36
1157,1,4.83
1157,2,5.95
1156,3,9.29
1156,1,8.12
1156,2,7.14
1155,1,12.58
1155,3,11.69
1155,2,14.00
1154,2,
1154,3,6.25
1154,1,4.73
1153,2,3.94
1153,1,4.19
1153,3,3.05
1152,3,6.56
1152,2,7.21
1152,1,8.89
1151,3,5.87
1151,1,6.47
1151,2,6.13
1150,3,12.36
1150,1,9.73
1150,2,10.32
1149,3,8.30
1149,2,7.51
1149,1,8.01
1148,3,5.54
1148,1,4.66
1148,2,7.12
1147,3,10.20
1147,2,9.50
1147,1,3.89
1146,2,10.90
1146,3,11.31
1146,1,10.76
1145,1,7.11
1145,3,5.52
1145,2,7.44
1144,1,3.23
1144,2,5.18
1144,3,2.03
1143,1,9.27
1143,2,7.65
1143,3,6.29
1142,3,16.07
1142,2,16.43
1142,1,10.45
1141,1,7.57
1141,2,11.30
1141,3,7.82
1140,2,4.91
1140,3,4.83
1140,1,6.13
1139,1,3.96
1139,3,2.32
1139,2,3.87
1138,1,7.26
1138,2,5.05
1138,3,6.50
1137,2,4.98
1137,1,2.28
1136,1,2.40
1136,2,2.67
1136,3,3.18
1134,2,5.84
1134,3,3.93
1134,1,2.25
1133,3,6.67
1133,2,11.21
1133,1,6.29
1132,3,6.23
1132,1,7.71
1132,2,5.33
1131,2,12.20
1131,1,11.37
1131,3,12.07
1130,3,4.87
1130,2,4.38
1130,1,6.05
1129,1,8.64
1129,3,9.78
1129,2,4.70
1128,2,3.15
1128,3,5.52
1128,1,4.94
1127,1,9.26
1127,3,9.43
1127,2,6.50
1126,2,5.86
1126,1,2.31
1126,3,4.60
1124,1,5.01
1124,2,4.21
1124,3,4.90
1123,2,10.67
1123,1,8.93
1123,3,10.09
1122,2,5.91
1122,3,4.32
1122,1,6.96
1121,1,5.43
1121,3,6.39
1121,2,5.31
1120,1,8.26
1120,2,4.69
1118,1,6.81
1118,2,7.74
1118,3,8.01
1117,3,14.22
1117,1,7.18
1117,2,11.43
1116,1,8.77
1116,3,8.63
1116,2,8.89
1115,1,10.95
1115,2,7.58
1115,3,8.82
1114,2,6.40
1114,1,4.46
1114,3,4.69
1113,1,4.83
1113,2,4.78
1112,1,9.64
1112,2,8.02
1112,3,8.59
1111,2,3.39
1111,3,3.16
1111,1,3.36
1110,3,9.47
1110,1,10.60
1110,2,6.77
1109,2,9.41
1109,3,9.98
1109,1,12.16
1108,2,7.00
1108,3,6.96
1108,1,4.74
1107,1,3.12
1107,3,4.18
1107,2,2.12
1106,3,6.25
1106,1,7.21
1106,2,5.92
1105,2,7.00
1105,3,7.22
1105,1,4.94
1104,1,5.85
1104,2,8.17
1104,3,4.95
1103,1,4.41
1103,2,5.33
1103,3,5.84
1102,2,7.57
1102,3,8.97
1102,1,8.37
1101,1,6.03
1101,3,4.52
1101,2,5.41
1100,3,8.16
1100,1,3.65
1100,2,6.99
1099,1,15.29
1099,3,9.74
1099,2,10.86
1098,2,6.50
1098,1,6.37
1098,3,7.74
1097,2,10.63
1097,3,10.88
1097,1,10.38
1096,1,6.92
1096,3,9.10
1096,2,8.81
1095,1,9.78
1095,3,6.45
1095,2,8.20
1094,1,8.29
1094,3,10.79
1094,2,8.44
1093,1,6.98
1093,2,9.23
1093,3,3.85
1091,1,9.41
1091,3,8.06
1091,2,9.28
1090,3,3.25
1090,1,4.51
1090,2,4.37
1089,2,4.98
1089,3,6.47
1089,1,5.74
1087,3,8.65
1087,2,5.39
1087,1,6.86
1086,2,6.41
1086,3,4.48
1086,1,6.91
1084,2,14.22
1084,3,4.83
1084,1,7.45
1083,3,13.06
1083,1,8.13
1083,2,6.79
1082,1,
1082,3,
1082,2,7.42
1081,1,9.25
1081,3,5.56
1081,2,4.37
1080,2,11.34
1080,3,12.02
1080,1,13.83
1079,2,5.40
1079,1,4.77
1079,3,3.93
1078,3,5.54
1078,2,6.64
1078,1,5.96
1077,3,7.66
1077,2,6.06
1077,1,6.03
1076,2,12.44
1076,3,7.36
1076,1,9.56
1075,3,7.56
1075,1,4.31
1075,2,5.83
1074,2,5.65
1074,3,6.80
1074,1,4.62
1073,3,5.35
1073,2,6.69
1073,1,3.71
1072,2,4.48
1072,1,2.96
1072,3,3.76
1071,3,5.01
1071,1,2.27
1071,2,6.30
1070,3,7.46
1070,1,5.16
1070,2,4.11
1069,1,6.18
1069,2,16.10
1069,3,9.35
1068,1,3.08
1068,2,3.70
1068,3,4.22
1067,1,6.13
1067,2,6.81
1067,3,3.85
1066,1,4.90
1066,3,5.50
1066,2,4.44
1065,1,5.79
1065,3,6.24
1065,2,5.56
1064,3,6.11
1064,2,6.85
1064,1,7.36
1063,1,5.90
1063,2,6.06
1063,3,4.55
1061,1,6.75
1061,3,4.46
1061,2,8.15
1060,2,10.82
1060,3,5.39
1060,1,9.30
1059,2,7.11
1059,1,3.46
1059,3,7.28
1058,2,5.91
1058,3,7.84
