Plot,Repeat,Vpmax,Vmax,SL,a400,gsw,Vpmax.Vmax,iWUE
1093,2,94.13881922,40.89822784,0.147485451,34.12581983,0.228229192,0.43444594,149.5243422
1093,3,71.06332983,36.68071322,0.123691233,30.93779114,0.222186706,0.516169356,139.242314
1095,1,78.42395902,33.99748658,0.213000334,25.8879329,0.151574574,0.43350893,170.7933745
1095,2,67.03118529,28.80158502,0.107669915,24.76801102,0.160957482,0.42967441,153.8792157
1095,3,89.49640229,31.66706039,0.204759146,24.68824175,0.135876211,0.353836127,181.696572
1098,1,51.79465566,40.06645006,0.361765579,22.57553575,0.141189429,0.773563402,159.8953686
1098,2,33.35396855,19.08343194,0.331434242,11.74915853,0.061668364,0.572148766,190.5216511
1098,3,28.41260555,19.97767841,0.306403994,12.56388529,0.076300618,0.703127293,164.6629562
1102,1,77.71459043,42.02889776,0.085314964,37.07553146,0.31003134,0.540810902,119.5863988
1102,2,154.0382279,39.49804926,0.074514193,36.13761234,0.230677588,0.256417188,156.6585325
1102,3,94.08430489,46.57758429,0.06190745,40.39601154,0.321396393,0.495062214,125.6890632
1103,1,42.62002965,27.00696069,0.09329022,22.44658789,0.176183058,0.633668276,127.4049168
1103,3,90.88638594,33.40674628,0.118235303,27.53494832,0.169764324,0.36756601,162.1951399
1114,1,40.10773978,25.65788414,0.388495971,14.2330722,0.081533179,0.63972401,174.5678554
1118,1,100.4790027,43.70619174,0.086355738,38.77890248,0.295219176,0.434978359,131.3563128
1118,2,82.4218217,31.71708744,0.098780287,26.69816114,0.174978831,0.384814201,152.5793775
1118,3,75.6948448,34.24655746,0.048366007,31.77413082,0.230415349,0.452429192,137.8993673
1123,1,95.73547706,39.19955689,0.210935979,30.2883519,0.180224759,0.409456955,168.0587734
1123,3,118.1583774,44.36293318,0.178371231,35.925262,0.217273073,0.375453135,165.3461308
1126,1,66.97577506,37.1285581,0.156938226,28.5927278,0.196929685,0.554358021,145.1925735
1126,2,97.49574943,37.77920583,0.11163721,32.59801839,0.219602591,0.387495927,148.4409554
1126,3,69.58936268,38.37757622,0.06513269,34.36693915,0.276106864,0.551486244,124.4697021
1127,1,45.00376284,29.18910074,0.24489867,19.82948835,0.131549007,0.648592449,150.7384113
1127,2,40.49523439,28.01173434,0.25444444,18.52631535,0.123451105,0.691729157,150.0700653
1127,3,23.81017382,22.87245622,0.336757736,12.65653922,0.096110065,0.960616936,131.6879692
1128,1,83.58816676,33.00885586,0.277770916,23.04802114,0.126816594,0.39489867,181.7429446
1128,2,43.69667867,32.12493926,0.270087054,20.65854043,0.143599349,0.735180344,143.8623545
1128,3,36.64823375,25.28487653,0.222627987,17.54622194,0.120690488,0.689934383,145.3819787
1133,1,78.37492788,37.0627277,0.161375102,30.05673078,0.192109039,0.472890103,156.4566192
1133,2,36.28398662,25.11077966,0.31647548,15.46613542,0.100303407,0.692062312,154.1935201
1133,3,43.35611214,35.86503944,0.402049705,19.92044438,0.141869036,0.827219916,140.414321
1139,1,43.6542467,23.37419116,0.21770648,17.41430234,0.101673335,0.535439113,171.2769857
1139,2,47.88738197,25.08773633,0.175173326,19.67963288,0.120163693,0.52389033,163.7735359
1139,3,67.88099418,34.04601243,0.191394399,26.27224613,0.158845621,0.501554417,165.3948401
1140,1,96.10988992,37.19240377,0.199986332,29.45025979,0.167661086,0.386977904,175.653519
1140,2,118.7162848,37.66061602,0.209410286,29.47457215,0.161875943,0.317232097,182.0812386
1140,3,47.221679,26.52291838,0.158597682,20.7726636,0.137387909,0.561668262,151.1971746
1141,1,106.6214424,30.80193473,0.177329118,25.14253815,0.132305738,0.288890621,190.033618
1143,2,28.72194814,18.40594757,0.125151905,14.64805007,0.108387661,0.640832143,135.1449963
1143,3,59.79345908,32.52655142,0.090215693,28.23389478,0.229764019,0.543981765,122.8821417
1146,1,78.20317529,42.43003365,0.082014873,37.83605673,0.301396307,0.54256152,125.5359002
