Plot,Repeat,C,N,CN,d13C,d15N
2172,2,43.11,2.79,15.4516129,-13.05,4.06
2172,3,42.53,2.71,15.69372694,-13.04,3.41
2287,1,43.57,2.48,17.56854839,-14.07,5.11
2287,2,43.31,2.46,17.60569106,-14.28,5.28
2287,3,42.21,2.12,19.91037736,-13.98,2.86
1114,1,40.62,1.93,21.04663212,-13.86,5.7
1114,2,43.23,1.92,22.515625,-13.77,5.09
1114,3,43.04,2.1,20.4952381,-14.1,6.55
2296,1,,,#DIV/0!,,
2296,2,28.87,1.6,18.04375,-14.36,5.05
2296,3,43.99,2.62,16.79007634,-14.42,4.95
1130,1,43.34,2.11,20.54028436,-14.13,5.25
1130,2,40.4,2,20.2,-14.13,4.76
1130,3,42.43,1.76,24.10795455,-14.07,3.9
1096,1,43.58,2.7,16.14074074,-13.51,1.6
1096,2,42.78,1.9,22.51578947,-13.81,2.43
1096,3,43.61,1.97,22.13705584,-13.67,2.11
1160,1,42.4,2.78,15.25179856,-14.46,2.96
1160,2,43.34,2.7,16.05185185,-14.05,4.15
1160,3,42.4,2.47,17.1659919,-14.22,4.43
2098,1,42.89,1.99,21.55276382,-13.79,4.85
2098,2,43.08,2.89,14.90657439,-13.65,5.24
2098,3,41.07,1.94,21.17010309,-14.15,2.57
1143,1,42.51,2.34,18.16666667,-13.05,2.39
1143,2,44.91,2.52,17.82142857,-13.23,3.47
1143,3,39.85,1.7,23.44117647,-12.92,4.71
1151,1,43.2,1.82,23.73626374,-13.97,3.4
1151,2,42.49,1.39,30.56834532,-13.58,2.12
1151,3,41.7,1.84,22.66304348,-14.17,3.09
2254,1,43.59,1.87,23.31016043,-13.51,4.08
2254,2,41.87,2.07,20.22705314,-13.83,6.37
2254,3,42.62,1.58,26.97468354,-13.69,4.54
2057,1,41.75,1.51,27.64900662,-13.24,3.87
2057,2,42.32,1.39,30.44604317,-13.16,3.06
2057,3,43.16,1.67,25.84431138,-12.85,3.21
2220,1,43.81,2.59,16.91505792,-14.21,0.2
2220,2,42.21,2.26,18.67699115,-13.96,1.86
2220,3,41.35,2.45,16.87755102,-14.06,0.51
2069,1,42.55,2.36,18.02966102,-14,3.8
2069,2,42.98,2.49,17.26104418,-14,4.92
2069,3,42.06,2.22,18.94594595,-13.96,1.32
1119,1,42.57,2.3,18.50869565,-13.86,1.81
1119,2,42.69,1.89,22.58730159,-14.02,3.93
1119,3,42.54,2.14,19.87850467,-14.04,4.14
2075,1,40.92,1.95,20.98461538,-14,3.89
2075,2,46.67,2.5,18.668,-14.27,1.68
2075,3,41.72,2.04,20.45098039,-14.24,3.59
1069,1,42.21,2.17,19.4516129,-13.86,3.19
1069,2,42.99,1.67,25.74251497,-13.84,3.57
1069,3,41.31,1.67,24.73652695,-13.53,4.3
2269,1,41.48,2.14,19.38317757,-13.97,6.73
2269,2,42.11,2.38,17.69327731,-13.97,3.74
2269,3,43.4,2.78,15.61151079,-13.99,5.6
1064,1,43.23,1.88,22.99468085,-13.47,3.49
1064,2,43.59,2.15,20.2744186,-13.59,3.91
1064,3,42.97,1.48,29.03378378,-13.56,2.18
1180,1,42.82,2.49,17.19678715,-13.98,5.89
1180,2,43.21,2.19,19.73059361,-13.75,4.51
1180,3,42.91,2.84,15.10915493,-13.32,4.57
2095,1,43.51,3.12,13.94551282,-13.42,2.91
2095,2,43.32,2.77,15.63898917,-13.62,2.86
2095,3,43.57,2.49,17.49799197,-13.48,3.01
1007,1,43.59,2.86,15.24125874,-13.25,3.21
1007,2,43.01,2.83,15.19787986,-14.45,1.29
1007,3,42.8,2.77,15.45126354,-13.01,3.89
2063,1,43.46,3.19,13.62382445,-13.46,2.75
2063,2,43.15,3.05,14.14754098,-12.86,3.3
