Plot,Repeat,N,d15N,C,d13C,CN
1133,3,4.23,2.07,43.53,-29.32,10.29078014
1169,2,3.8,2.31,45.29,-30.5,11.91842105
1169,3,4.14,1.51,47.85,-30.18,11.55797101
1170,1,3.75,0.93,41.72,-29.46,11.12533333
1170,2,2.51,1.44,36.07,-29.53,14.37051793
1181,1,2.86,3.76,37.45,-30.89,13.09440559
1181,2,3.88,5.83,43.44,-30.5,11.19587629
1181,3,2.97,5.79,40.51,-30.47,13.63973064
1190,1,4.76,2.01,43.67,-29.98,9.174369748
1190,3,4.27,3.52,42.24,-29.91,9.892271663
1196,3,4.45,1.52,46.01,-29.87,10.33932584
1201,1,3.17,3.06,34.45,-30.52,10.86750789
1201,2,3.64,2.98,39.44,-29.34,10.83516484
1201,3,4.16,2.61,42.39,-29.2,10.18990385
1223,1,4.84,3.4,42.48,-30.24,8.776859504
1223,2,3.92,2.82,42.2,-30.14,10.76530612
1223,3,3.64,3.02,44.47,-29.9,12.21703297
2031,1,3.13,3.56,40.98,-29.66,13.09265176
2031,2,3.33,3.23,40.02,-30.55,12.01801802
2031,3,3.91,5.06,41.24,-30.98,10.54731458
2039,1,3.21,1.84,44.89,-29.75,13.98442368
2039,2,3.26,2.6,43.03,-29.31,13.1993865
2040,1,3.42,-0.02,40.02,-29.26,11.70175439
2040,2,2.16,5.75,40.24,-29.59,18.62962963
2040,3,3.03,1.7,40.18,-29.95,13.26072607
2047,1,3.44,8.55,40.62,-30.26,11.80813953
2047,3,4.42,0.68,42.24,-30.06,9.556561086
2172,1,3.79,2.87,37.79,-30.54,9.970976253
2172,2,4.02,1.83,41.18,-29.82,10.24378109
2172,3,4.57,3.98,44.72,-30.33,9.785557987
1090,1,3.37,4.08,39.74,-29.57,11.79228487
1090,2,2.69,1.67,38.01,-29.12,14.13011152
1090,3,4.71,2.25,45.98,-29.88,9.762208068
1131,1,3.95,3.35,42.5,-29.5,10.75949367
1131,2,3.11,3.33,38.58,-29.98,12.40514469
1131,3,3.41,3.74,45.77,-29.13,13.42228739
1186,1,3.75,2.5,41.35,-28.94,11.02666667
1186,2,2.34,2.11,34.27,-28.68,14.64529915
1186,3,5.17,2.48,50.64,-29.25,9.794970986
2018,1,4.51,10.63,50.07,-29.85,11.10199557
2018,2,2.84,4.87,48.2,-29.13,16.97183099
2018,3,3.69,5.3,50.12,-29.45,13.58265583
2041,1,3.66,4.81,48.55,-30.2,13.26502732
2041,2,4.5,4.07,47.59,-30.88,10.57555556
2041,3,4.65,4.49,50.65,-29.65,10.89247312
2059,1,4.04,2.7,49.88,-28.81,12.34653465
2059,3,3.98,3.84,49.37,-29.23,12.40452261
2086,1,3.16,2.36,48.82,-30.06,15.44936709
2086,3,2.87,3.18,48.61,-30.04,16.93728223
2163,1,5.27,5.15,50.86,-30.21,9.65085389
2163,2,3.98,2.38,49.24,-29.91,12.3718593
2163,3,4.65,6.9,48.71,-30.39,10.47526882
2190,1,4.48,2.9,50.34,-30.45,11.23660714
2190,2,4.17,1.78,48.86,-30.05,11.71702638
2190,3,5.62,2.6,50.03,-30.87,8.902135231
2201,1,3.74,2.95,47.72,-29.64,12.75935829
2201,2,5.04,3.46,49.63,-30.32,9.847222222
2201,3,3.7,2.75,47.97,-29.67,12.96486486
2212,1,4.32,0.24,48.87,-29.38,11.3125
2212,2,4.2,0.91,48.91,-30.25,11.6452381
2212,3,3.57,0.02,47.01,-29.71,13.16806723
2219,1,3.06,2.94,46.69,-29.72,15.25816993
2219,2,3.06,1.66,46.47,-29.83,15.18627451
2219,3,3.09,4.32,46.76,-30.17,15.13268608
2242,1,3.69,3.97,49.41,-29.32,13.3902439
2242,2,3.09,3.52,48.1,-29.66,15.56634304
2242,3,3.17,3.31,48.5,-29.62,15.29968454
1004,2,5.11,2.59,50.21,-30.74,9.825831703
1004,1,4.26,2.68,48.47,-30,11.37793427
1004,3,4.8,2.72,49.74,-31.02,10.3625
1035,1,4.86,3.36,48.33,-29.83,9.944444444
1035,2,4.76,3,48.32,-30.2,10.1512605
1035,3,5.36,2.99,50.18,-29.84,9.361940299
1097,1,3.8,2.6,48.95,-29.47,12.88157895
1097,2,4.15,2.39,48.12,-29.49,11.59518072
1097,3,4.84,2.54,50.27,-28.56,10.38636364
1113,1,2.98,1.56,48.28,-29.99,16.20134228
1113,2,4.01,1.95,48.25,-29.85,12.03241895
